         # i           j           u
          20          35    -477.007
          20          36     -459.95
          20          37    -441.109
          20          38    -420.423
          20          39    -397.827
          20          40    -373.251
          20          41    -346.618
          20          42    -317.849
          20          43    -286.861
          20          44    -253.566
          20          45    -217.871
          20          46    -179.682
          20          47    -138.901
          20          48    -95.4283
          20          49    -49.1624
          21           0    -49.5606
          21           1    -96.2226
          21           2    -140.087
          21           3    -181.253
          21           4    -219.819
          21           5    -255.881
          21           6    -289.532
          21           7    -320.862
          21           8    -349.957
          21           9    -376.902
          21          10    -401.773
          21          11    -424.646
          21          12     -445.59
          21          13    -464.671
          21          14    -481.949
          21          15     -497.48
          21          16    -511.313
          21          17    -523.495
          21          18    -534.066
          21          19    -543.061
          21          20     -550.51
          21          21     -556.44
          21          22    -560.869
          21          23    -563.814
          21          24    -565.283
          21          25    -565.283
          21          26    -563.814
          21          27    -560.869
          21          28     -556.44
          21          29     -550.51
          21          30    -543.061
          21          31    -534.066
          21          32    -523.495
          21          33    -511.313
          21          34     -497.48
          21          35    -481.949
          21          36    -464.671
          21          37     -445.59
          21          38    -424.646
          21          39    -401.773
          21          40    -376.902
          21          41    -349.957
          21          42    -320.862
          21          43    -289.532
          21          44    -255.881
          21          45    -219.819
          21          46    -181.253
          21          47    -140.087
          21          48    -96.2226
          21          49    -49.5606
          22           0    -49.8574
          22           1    -96.8146
          22           2    -140.971
          22           3    -182.424
          22           4    -221.272
          22           5    -257.607
          22           6    -291.523
          22           7    -323.108
          22           8    -352.448
          22           9    -379.625
          22          10    -404.717
          22          11    -427.797
          22          12    -448.935
          22          13    -468.195
          22          14    -485.639
          22          15     -501.32
          22          16    -515.289
          22          17    -527.592
          22          18    -538.268
          22          19    -547.354
          22          20    -554.879
          22          21    -560.869
          22          22    -565.344
          22          23    -568.319
          22          24    -569.804
          22          25    -569.804
          22          26    -568.319
          22          27    -565.344
          22          28    -560.869
          22          29    -554.879
          22          30    -547.354
          22          31    -538.268
          22          32    -527.592
          22          33    -515.289
          22          34     -501.32
          22          35    -485.639
          22          36    -468.195
          22          37    -448.935
          22          38    -427.797
          22          39    -404.717
          22          40    -379.625
          22          41    -352.448
          22          42    -323.108
          22          43    -291.523
          22          44    -257.607
          22          45    -221.272
          22          46    -182.424
          22          47    -140.971
          22          48    -96.8146
          22          49    -49.8574
          23           0    -50.0544
          23           1    -97.2075
          23           2    -141.558
          23           3    -183.202
          23           4    -222.236
          23           5    -258.754
          23           6    -292.846
          23           7      -324.6
          23           8    -354.103
          23           9    -381.434
          23          10    -406.672
          23          11     -429.89
          23          12    -451.157
          23          13    -470.537
          23          14     -488.09
          23          15    -503.871
